name,description,allowedHooks,Category,AlimConstraint,NodeCross,imgName
Descente 3P+T,"Traversée verticale descendante de faisceau d’alimentation Prise 3x2,5mm² associée à un jumeau montant à l'étage du dessous",prise,DIVERS,NONE,GOES_DOWN,
Descente de niveau télérupteur,"Traversée verticale descendante pilotage télérupteur 2x1,5mm² associée à un jumeau montant à l'étage du dessous",telrupt,DIVERS,NONE,GOES_DOWN,
Descente de niveau va-et-vient,"Traversée verticale descendante va-et-vient 2x1,5mm² associée à un jumeau montant à l'étage du dessous",vaetvien,DIVERS,NONE,GOES_DOWN,
"Descente neutre+terre 1,5mm²","Traversée verticale descendante de faisceau commun pour éclairage 2x1,5mm² (neutre et terre) associée à un jumeau montant à l'étage du dessous",eclcommun,DIVERS,NONE,GOES_DOWN,
"Descente phase  1,5mm²","Traversée verticale descendante de phase 1,5mm² de pilotage d’éclairage associée à un jumeau montant à l'étage du dessous",eclcommand ,DIVERS,NONE,GOES_DOWN,
Descente de niveau 12mm,Traversée verticale PER 12mm descendante associée à un jumeau montant à l'étage du dessus,per12 ,JONCTIONS_PER_12,ANY,GOES_DOWN,
Descente de niveau 16mm,Traversée verticale PER 16mm descendante associée à un jumeau montant à l'étage du dessus,per16,JONCTIONS_PER_16,ANY,GOES_DOWN,
Descente de niveau 20mm,Traversée verticale PER 20mm descendante associée à un jumeau montant à l'étage du dessus,per20 ,JONCTIONS_PER_20,ANY,GOES_DOWN,
Descente de niveau 100mm,Traversée verticale PVC 100mm descendante associée à un jumeau montant à l'étage du dessus,pvc100,JONCTIONS_PVC_100,ANY,GOES_DOWN,descente100
Descente de niveau 32mm,Traversée verticale PVC 32mm descendante associée à un jumeau montant à l'étage du dessus,pvc32 ,JONCTIONS_PVC_32,ANY,GOES_DOWN,descente32
Descente de niveau 40mm,Traversée verticale PVC 40mm descendante associée à un jumeau montant à l'étage du dessus,pvc40,JONCTIONS_PVC_40,ANY,GOES_DOWN,descente40
Montée 3P+T,"Traversée verticale montante de faisceau d’alimentation Prise 3x2,5mm² associée à un jumeau descendant à l'étage du dessus",prise,DIVERS,NONE,GOES_UP,
Montée de niveau télérupteur,"Traversée verticale montante de pilotage télérupteur 2x1,5mm² associée à un jumeau descendant à l'étage du dessus",telrupt,DIVERS,NONE,GOES_UP,
Montée de niveau va-et-vient,"Traversée verticale montante de va-et-vient 2x1,5mm² associée à un jumeau descendant à l'étage du dessus",vaetvien,DIVERS,NONE,GOES_UP,
"Montée neutre+terre 1,5mm²","Traversée verticale montante de faisceau commun pour éclairage 2x1,5mm² (neutre et terre) associée à un jumeau descendant à l'étage du dessus",eclcommun,DIVERS,NONE,GOES_UP,
"Montée phase  1,5mm²","Traversée verticale montante de phase 1,5mm² de pilotage d’éclairage associée à un jumeau descendant à l'étage du dessus",eclcommand ,DIVERS,NONE,GOES_UP,
Montée de niveau 12mm,Traversée verticale PER 12mm montante associée à un jumeau descendant à l'étage du dessus,per12 ,JONCTIONS_PER_12,ANY,GOES_UP,
Montée de niveau 16mm,Traversée verticale PER 16mm montante associée à un jumeau descendant à l'étage du dessus,per16,JONCTIONS_PER_16,ANY,GOES_UP,
Montée de niveau 20mm,Traversée verticale PER 20mm montante associée à un jumeau descendant à l'étage du dessus,per20 ,JONCTIONS_PER_20,ANY,GOES_UP,
Montée de niveau 100mm,Traversée verticale PVC 100mm montante associée à un jumeau descendant à l'étage du dessus,pvc100,JONCTIONS_PVC_100,ANY,GOES_UP,montee100
Montée de niveau 32mm,Traversée verticale PVC 32mm montante associée à un jumeau descendant à l'étage du dessus,pvc32 ,JONCTIONS_PVC_32,ANY,GOES_UP,montee32
Montée de niveau 40mm,Traversée verticale PVC 40mm montante associée à un jumeau descendant à l'étage du dessus,pvc40,JONCTIONS_PVC_40,ANY,GOES_UP,montee40
Chauffe-eau,Chauffe-eau électrique à ballon intégré,pvc32 per20 per20 prise,DIVERS,BOTH,NONE,chauffeEau
Gros débit d'eau,"Point d'eau à gros débit (douche, baignoire, évier, ...)",pvc40 per16 per16,DIVERS,BOTH,NONE,grosDebit
